[0/40][0/504]	Loss_D: 1.4235	Loss_G: 21.7346	D(x): 0.5445	D(G(z)): 0.4649 / 0.0000
[0/40][50/504]	Loss_D: 0.7239	Loss_G: 4.4299	D(x): 0.7350	D(G(z)): 0.1746 / 0.0573
[0/40][100/504]	Loss_D: 2.5059	Loss_G: 1.7542	D(x): 0.1764	D(G(z)): 0.0399 / 0.3106
[0/40][150/504]	Loss_D: 1.3871	Loss_G: 3.1852	D(x): 0.8408	D(G(z)): 0.6151 / 0.0968
[0/40][200/504]	Loss_D: 0.8650	Loss_G: 4.6728	D(x): 0.8466	D(G(z)): 0.4361 / 0.0314
[0/40][250/504]	Loss_D: 1.1160	Loss_G: 1.7034	D(x): 0.4419	D(G(z)): 0.0909 / 0.2244
[0/40][300/504]	Loss_D: 1.3818	Loss_G: 3.4657	D(x): 0.7932	D(G(z)): 0.5817 / 0.0633
[0/40][350/504]	Loss_D: 1.7885	Loss_G: 1.1430	D(x): 0.2798	D(G(z)): 0.0805 / 0.3801
[0/40][400/504]	Loss_D: 0.9337	Loss_G: 2.7226	D(x): 0.6271	D(G(z)): 0.2633 / 0.1101
[0/40][450/504]	Loss_D: 1.8368	Loss_G: 1.7918	D(x): 0.3135	D(G(z)): 0.0595 / 0.2626
[0/40][500/504]	Loss_D: 0.7669	Loss_G: 2.6241	D(x): 0.6497	D(G(z)): 0.1607 / 0.1073
[1/40][0/504]	Loss_D: 0.8685	Loss_G: 2.5299	D(x): 0.7260	D(G(z)): 0.3094 / 0.1156
[1/40][50/504]	Loss_D: 1.0044	Loss_G: 2.2175	D(x): 0.5346	D(G(z)): 0.1429 / 0.1700
[1/40][100/504]	Loss_D: 1.2199	Loss_G: 2.1446	D(x): 0.4582	D(G(z)): 0.1088 / 0.2198
[1/40][150/504]	Loss_D: 1.3122	Loss_G: 4.9412	D(x): 0.8702	D(G(z)): 0.5675 / 0.0340
[1/40][200/504]	Loss_D: 0.4481	Loss_G: 3.0638	D(x): 0.8046	D(G(z)): 0.1450 / 0.0753
[1/40][250/504]	Loss_D: 0.8668	Loss_G: 4.4339	D(x): 0.8338	D(G(z)): 0.4267 / 0.0263
[1/40][300/504]	Loss_D: 1.2058	Loss_G: 1.3536	D(x): 0.4276	D(G(z)): 0.0853 / 0.4179
[1/40][350/504]	Loss_D: 0.8469	Loss_G: 3.4462	D(x): 0.8115	D(G(z)): 0.3857 / 0.0588
[1/40][400/504]	Loss_D: 1.1176	Loss_G: 1.2193	D(x): 0.5043	D(G(z)): 0.1504 / 0.3579
[1/40][450/504]	Loss_D: 0.9763	Loss_G: 2.2941	D(x): 0.5906	D(G(z)): 0.2329 / 0.1562
[1/40][500/504]	Loss_D: 0.7501	Loss_G: 2.8445	D(x): 0.7136	D(G(z)): 0.2426 / 0.0853
